Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
110,155.0,4,5.0,0,0.0,7,3349000.0,0,14,0,1,0,0,2.0
140,155.0,4,3.0,0,0.0,7,5000000.0,0,8,0,1,1,0,2.0
155,165.0,4,1.0,0,0.0,7,3300000.0,0,14,0,1,0,0,2.0
70,80.0,3,0.5,0,13.0,7,1699000.0,0,8,1,1,0,0,1.0
250,280.0,5,14.0,0,13.0,7,8450000.0,0,15,0,1,1,0,3.0
170,220.0,5,6.0,0,2.0,7,3499000.0,0,13,0,1,0,0,2.0
80,100.0,3,9.0,0,1.0,7,2800000.0,0,14,0,1,1,0,2.0
65,90.0,2,1.0,0,4.0,7,2059000.0,0,11,1,1,0,0,1.0
125,130.0,4,4.0,0,0.0,7,3050000.0,0,5,0,0,0,0,1.0
125,150.0,4,6.0,0,25.0,7,2000000.0,0,7,0,0,0,0,1.0
115,130.0,4,2.0,0,0.0,7,3050000.0,0,5,0,0,0,0,1.0
135,150.0,4,5.0,0,25.0,7,1350000.0,0,7,0,0,0,1,1.0
165,185.0,5,18.0,0,1.0,7,4950000.0,0,3,0,0,0,0,2.0
70,110.0,3,4.0,0,0.0,7,2440000.0,0,9,0,1,0,0,1.0
50,65.0,2,9.0,1,3.0,6,950000.0,0,14,0,1,0,0,1.0
135,150.0,4,2.0,0,18.0,6,2100000.0,0,10,0,1,1,0,1.0
35,40.0,2,0.0,1,18.0,0,1415000.0,0,9,0,1,0,0,1.0
190,200.0,5,6.0,0,18.0,7,3400000.0,0,8,0,1,0,0,2.0
175,210.0,5,3.0,0,18.0,7,3800000.0,0,10,0,1,0,0,1.0
135,150.0,4,7.0,0,25.0,7,1975000.0,0,14,0,1,0,0,1.0
150,170.0,5,9.0,0,7.5,7,4250000.0,0,10,0,1,1,0,2.0
85,95.0,3,2.0,0,0.0,9,1650000.0,0,5,0,1,0,0,1.0
110,130.0,4,6.0,0,0.0,6,3049000.0,0,3,0,1,0,0,1.0
95,120.0,3,0.5,0,7.5,6,1694000.0,0,10,0,1,0,0,1.0
190,210.0,5,6.0,0,7.5,7,4940000.0,0,14,0,1,0,0,2.0
