Net_Metrekare,Brüt_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Eşya_Durumu,Binanın_Yaşı,Isıtma_Tipi,Fiyat,Şehir,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Takas,Tapu_Durumu,Banyo_Sayısı
93,110.0,3,2.0,0,0.0,0.5912274601361085,1400000.0,0.0706870001490238,5,0,0,0,0,1.0
90,110.0,3,15.0,0,7.5,0.5912274601361085,1170000.0,0.0706870001490238,15,0,0,0,0,1.0
125,145.0,4,5.0,0,1.0,0.5912274601361085,2100000.0,0.0706870001490238,8,0,0,0,0,2.0
90,95.0,3,0.0,0,7.5,0.0227509810739655,1200000.0,0.0706870001490238,15,0,0,0,0,2.0
65,85.0,3,5.0,0,7.5,0.0856887387611147,1070000.0,0.0706870001490238,5,1,0,1,0,1.0
40,75.0,2,1.0,1,0.0,0.0856887387611147,1100000.0,0.0706870001490238,10,0,0,1,0,1.0
240,250.0,5,6.0,0,18.0,0.5912274601361085,3750000.0,0.0706870001490238,12,0,0,1,0,2.0
120,170.0,4,7.0,0,7.5,0.5912274601361085,2930000.0,0.0706870001490238,12,0,0,0,0,2.0
50,60.0,2,14.0,0,0.0,0.0856887387611147,975000.0,0.0706870001490238,14,0,1,0,0,1.0
125,150.0,5,3.0,0,25.0,0.0227509810739655,2000000.0,0.0706870001490238,3,0,0,0,0,1.0
110,120.0,4,6.0,0,13.0,0.5912274601361085,2300000.0,0.0706870001490238,10,1,1,0,0,1.0
165,180.0,4,9.0,0,13.0,0.0856887387611147,2650000.0,0.0706870001490238,9,0,1,0,0,1.0
135,160.0,4,8.0,0,25.0,0.5912274601361085,2600000.0,0.0706870001490238,13,0,0,0,0,1.0
120,140.0,4,0.5,0,0.0,0.5912274601361085,1920000.0,0.0706870001490238,5,0,0,0,0,2.0
105,120.0,3,6.0,0,0.0,0.5912274601361085,2465000.0,0.0706870001490238,14,0,0,0,0,2.0
230,250.0,5,4.0,0,7.5,0.5912274601361085,6750000.0,0.0706870001490238,3,0,0,0,0,2.0
130,165.0,4,14.0,0,1.0,0.5912274601361085,2850000.0,0.0706870001490238,15,1,1,0,0,2.0
